Date,Weekly Sum of Daily Equity Values
TICKERS,"TH.HFPROXFLOW.EQ.IN.D"
 , 
1994-07-02,NaN
1994-07-09,-0.08842739735562108
1994-07-16,0.022200804638752215
1994-07-24,0.18322139972886314
1994-07-30,0.23498210278758747
1994-08-06,0.2119487278821805
1994-08-13,0.1312340488728188
1994-08-20,0.3383671618644667
1994-08-27,0.06697587526781479
1994-09-03,0.3104011610496277
1994-09-10,0.14874343465772163
1994-09-17,0.15937216638510632
1994-09-24,-0.030226717707689005
1994-10-01,-0.028072092233361726
1994-10-08,-0.09470059685187
1994-10-15,0.0852755308172885
1994-10-23,0.14364127350470676
1994-10-29,0.007159017979208076
1994-11-05,0.0076194006123340985
1994-11-12,-0.08786691935784219
1994-11-19,0.0318060128611317
1994-11-26,-0.12954445540392384
1994-12-04,-0.03319035010069418
1994-12-11,-0.10422600063394094
1994-12-17,-0.10486127847890725
1994-12-24,0.08508447569279476
1995-01-01,0.05290295966750522
1995-01-07,-0.014389534859226108
1995-01-14,-0.5782155814134924
1995-01-21,-0.0003753063827347733
1995-01-28,-0.08859802679970356
1995-02-04,0.03354959091544191
1995-02-11,0.16203314354703652
1995-02-18,0.0006569675810246953
1995-02-25,-0.003980006467973758
1995-03-04,0.015428545895033272
1995-03-11,-0.1024229730802665
1995-03-18,-0.030761718651938982
1995-03-25,0.05639022346617999
1995-04-01,0.07979520844989633
1995-04-08,-0.005269649643043784
1995-04-15,-0.01539736350164899
1995-04-22,0.04212649611903303
1995-04-30,0.1765901346490448
1995-05-06,0.48530080845379153
1995-05-14,0.41492014795818843
1995-05-20,0.20501986847326464
1995-05-27,0.24176478513083927
1995-06-03,0.20790035239204907
1995-06-10,0.10825441654869541
1995-06-17,0.07029520427752446
1995-06-24,0.06939162817466615
1995-07-01,-0.010661250003525715
1995-07-08,0.3295165797045755
1995-07-15,0.26468056686744657
1995-07-22,-0.00170201709252054
1995-07-29,0.03307911025480956
1995-08-05,0.0395015061789402
1995-08-13,-0.029566131085358507
1995-08-19,-0.0175250837571137
1995-08-26,0.06637524798063127
1995-09-02,0.023894848636757646
1995-09-09,-0.0546531195952801
1995-09-16,0.15579598341937598
1995-09-23,0.02080752324333437
1995-09-30,-0.060453165277161686
1995-10-07,0.030622474157155414
1995-10-14,0.03322190946663378
1995-10-22,-0.042913793823763605
1995-10-28,-0.10344429991232089
1995-11-04,-0.1177412689593538
1995-11-11,-0.08717807454201315
1995-11-18,-0.08397096163611088
1995-11-25,0.007668089422482455
1995-12-02,0.061541910891200244
1995-12-10,0.2773265244037036
1995-12-16,0.053958495298881
1995-12-23,0.1089387316225693
1996-01-01,0.038633649898869256
1996-01-06,0.40105955436195095
1996-01-13,0.20774165584270793
1996-01-20,0.19370882345245152
1996-01-27,0.2736290192259684
1996-02-03,0.3436809677659621
1996-02-10,0.143638664992696
1996-02-17,0.10382761208150773
1996-02-24,0.03377429939730119
1996-03-02,-0.03467182108194164
1996-03-09,0.04127463170597342
1996-03-16,-0.03266474730534008
1996-03-23,0.1269479983933242
1996-03-30,0.04282841913827357
1996-04-07,0.15130831358907057
1996-04-14,0.07670705750995725
