Date,US Money Market Fund Flows,US Money Market Fund Flows (5d m/a)
TICKERS,"US.FUNDFLOW.MM.TOTAL.1DCHG.D","US.FUNDFLOW.MM.TOTAL.1DCHG.D"
 , , 
2016-01-05,-1.88145002468443,-1.88145002468443
2016-01-06,-0.12480782225728,-1.003128923470855
2016-01-07,-5.13970725805173,-2.3819883683311467
2016-01-08,4.607904736952391,-0.6345150920102622
2016-01-11,0.9719774753577076,-0.31321657853666823
2016-01-12,5.6606006165687,1.1951935497139579
2016-01-13,8.225651881503406,2.865285490466095
2016-01-14,-11.4118071044106,1.6108655211943212
2016-01-15,5.530389891666826,1.7953625521372083
2016-01-19,-6.35152882474102,0.3306612921174626
2016-01-20,5.898156343412586,0.3781724374862394
2016-01-21,-7.10986699088942,-2.688931336992326
2016-01-22,-3.93334245054144,-1.1932384062184938
2016-01-25,-0.44931876670056997,-2.3891801378919726
2016-01-26,19.010811350233848,2.6832878971030008
2016-01-27,10.11683600608632,3.5270238296377476
2016-01-28,-11.5718630264872,2.6346246225181913
2016-01-29,-14.5688241403801,0.5075282845504592
2016-02-01,2.453184026481118,1.088028843186797
2016-02-02,14.10323895521881,0.10651436418378993
2016-02-03,-0.685718216351233,-2.0539964803037214
2016-02-04,-2.5555960886599496,-0.2507430927382709
2016-02-05,-7.61696650086064,1.139628435165621
2016-02-08,-3.2037570930081403,0.008240211267769304
2016-02-09,7.09437342452025,-1.393532894871942
2016-02-10,12.7685084239589,1.297312433190084
2016-02-11,1.4493568240161978,2.0983030157253135
2016-02-12,-11.1511724979761,1.3914618163022223
2016-02-16,-0.6337080971198159,1.9054716154798867
2016-02-17,12.410676227056419,2.96873217598712
2016-02-18,4.920175413622521,1.3990655739198439
2016-02-19,-3.0714306261399797,0.4949080838886085
2016-02-22,4.021942615760489,3.5295311066359263
2016-02-23,7.425308096768799,5.141334345413649
2016-02-24,6.33808730459353,3.926816560921072
2016-02-25,9.37239169034595,4.817259816265758
2016-02-26,0.03044047233043239,5.4376340359598405
2016-02-29,-17.030016978100402,1.2272421171876622
2016-03-01,3.261861487753223,0.3945527953845464
2016-03-02,20.78174570589932,3.2832844756457042
2016-03-03,8.857401954209898,3.180286528418494
2016-03-04,-8.15794444406358,1.5426095451396915
2016-03-07,0.949318309271708,5.138476602614113
2016-03-08,-1.19306895682821,4.2474905136978265
2016-03-09,-0.14065007476136102,0.06301135756569116
2016-03-10,-0.621894233249593,-1.8328478799262071
2016-03-11,-6.70214997232845,-1.541688985579181
2016-03-14,-17.5097312156833,-5.233498890570183
2016-03-15,-19.331884139730597,-8.861261927150661
2016-03-16,7.541894079704305,-7.324753096257527
2016-03-17,1.867640653239563,-6.826846118959696
2016-03-18,-15.342872631419,-8.554990650777805
2016-03-21,-5.95388112171041,-6.243820631983228
2016-03-22,5.615280956396367,-1.254387612757835
2016-03-23,-2.26759251574008,-3.2162849318467117
2016-03-24,-23.3303800903489,-8.255889080564405
2016-03-28,25.29357139910292,-0.12860027446002037
2016-03-29,0.91050628873799,1.2442772076296595
2016-03-30,10.195871578508989,2.1603953320521834
2016-03-31,-7.4596443977179,1.1219849556566195
2016-04-01,-12.8187787940418,3.22430521491804
2016-04-04,-6.36689159583068,-3.10778738406868
2016-04-05,-2.1760124666374203,-3.7250911351437623
2016-04-06,3.706652362517081,-5.022934978342144
2016-04-07,-0.31119740528846196,-3.593245579856256
2016-04-08,0.35770843788003553,-0.957948133471889
2016-04-11,-10.5598386991196,-1.7965375541296733
2016-04-12,11.992799110931339,1.0372247613840784
2016-04-13,-4.518952119163241,-0.607896134951986
2016-04-14,-6.32773217936838,-1.8112030897679694
2016-04-15,-25.4154268413521,-6.965830145614396
2016-04-18,-4.27209399585845,-5.708281204962167
2016-04-19,1.691316804117057,-7.768577666325022
2016-04-20,2.427025418071542,-6.379382158878067
2016-04-21,0.9776748021906242,-4.918300762566266
2016-04-22,5.19157722434029,1.2031000505722127
2016-04-25,-8.823714578500018,0.2927759340438989
2016-04-26,6.285984694360755,1.2117095120926387
2016-04-27,3.7352130382210023,1.4733470361225307
2016-04-28,3.290503423596732,1.935912760403752
2016-04-29,5.612320507450029,2.0200614170257
2016-05-02,-12.379971824019199,1.308809967921864
2016-05-03,5.057220204022247,1.0630570698541622
2016-05-04,0.909630513577722,0.4979405649255063
2016-05-05,3.733691983108873,0.5865782768279344
2016-05-06,-3.37430146141769,-1.2107461169456095
2016-05-09,5.692536917219404,2.403755631302111
2016-05-10,4.888029224179219,2.3699174353335053
2016-05-11,-4.77667625322752,1.2326560819724572
2016-05-12,12.45786272707954,2.9774902307665903
2016-05-13,-12.5527635610825,1.1417978108336286
2016-05-16,0.9073113533500582,0.18475269805975955
2016-05-17,-11.0798405381385,-3.0088212544037845
2016-05-18,17.23226563689299,1.3929671236203176
2016-05-19,-16.1682627069717,-4.33225796318993
2016-05-20,-7.59176269161142,-3.3400577892957144
2016-05-23,6.190351296951529,-2.28344980057542
2016-05-24,16.71558672608761,3.275635652269802
2016-05-25,4.314832924581597,0.6921491098075242
2016-05-26,12.19467280948907,6.364736213099677
2016-05-27,-2.71194508481957,7.340699734458049
2016-05-31,-26.3470552328783,0.833218428492082
2016-06-01,23.7882455154499,2.2477501863645397
2016-06-02,-3.4397295833095,0.6968376847863198
2016-06-03,-5.19008308626013,-2.7801134943635204
2016-06-06,3.3064505489114673,-1.5764343676173127
2016-06-07,2.896764418141916,4.272329562586731
2016-06-08,-6.358453748605211,-1.7570102902242914
2016-06-09,26.94345742320037,4.319627111077683
